split_id,split_index,set,row_index,ligand_id,activity
split_00,0,train,1314,1349,1
split_00,0,train,2293,2457,0
split_00,0,train,2984,3248,0
split_00,0,train,2533,2727,0
split_00,0,train,1433,1470,1
split_00,0,train,2046,2170,0
split_00,0,train,2305,2474,0
split_00,0,train,1623,1668,1
split_00,0,train,93,95,1
split_00,0,train,680,698,1
split_00,0,train,2877,3128,0
split_00,0,train,2112,2247,0
split_00,0,train,315,323,1
split_00,0,train,2467,2653,0
split_00,0,train,1859,1946,0
split_00,0,train,469,479,1
split_00,0,train,2592,2798,0
split_00,0,train,1215,1250,1
split_00,0,train,1058,1087,1
split_00,0,train,2004,2115,0
split_00,0,train,2821,3067,0
split_00,0,train,1271,1306,1
split_00,0,train,2462,2648,0
split_00,0,train,1893,1984,0
split_00,0,train,3165,3461,0
split_00,0,train,546,561,1
split_00,0,train,1104,1137,1
split_00,0,train,2032,2155,0
split_00,0,train,2865,3116,0
split_00,0,train,460,470,1
split_00,0,train,1484,1521,1
split_00,0,train,3152,3439,0
split_00,0,train,360,369,1
split_00,0,train,2931,3187,0
split_00,0,train,2749,2985,0
split_00,0,train,2298,2466,0
split_00,0,train,2638,2858,0
split_00,0,train,2358,2529,0
split_00,0,train,2233,2384,0
split_00,0,train,1518,1555,1
split_00,0,train,1762,1829,0
split_00,0,train,803,824,1
split_00,0,train,2038,2161,0
split_00,0,train,2998,3263,0
split_00,0,train,2549,2745,0
split_00,0,train,2885,3136,0
split_00,0,train,2481,2667,0
split_00,0,train,12,13,1
split_00,0,train,95,97,1
split_00,0,train,2093,2228,0
split_00,0,train,2575,2779,0
split_00,0,train,2704,2936,0
split_00,0,train,314,322,1
split_00,0,train,2763,3004,0
split_00,0,train,1336,1371,1
split_00,0,train,1708,1767,0
split_00,0,train,1064,1093,1
split_00,0,train,1699,1758,0
split_00,0,train,2206,2356,0
split_00,0,train,1496,1533,1
split_00,0,train,2628,2847,0
split_00,0,train,299,307,1
split_00,0,train,598,613,1
split_00,0,train,2693,2924,0
split_00,0,train,633,650,1
split_00,0,train,2013,2132,0
split_00,0,train,1078,1107,1
split_00,0,train,1447,1484,1
split_00,0,train,1600,1639,1
split_00,0,train,283,290,1
split_00,0,train,2529,2723,0
split_00,0,train,1636,1686,1
split_00,0,train,663,681,1
split_00,0,train,1590,1629,1
split_00,0,train,2949,3206,0
split_00,0,train,1010,1038,1
split_00,0,train,236,242,1
split_00,0,train,3054,3331,0
split_00,0,train,1313,1348,1
split_00,0,train,786,807,1
split_00,0,train,914,939,1
split_00,0,train,1941,2039,0
split_00,0,train,1692,1750,0
split_00,0,train,787,808,1
split_00,0,train,26,27,1
split_00,0,train,622,638,1
split_00,0,train,2223,2374,0
split_00,0,train,1919,2015,0
split_00,0,train,1760,1827,0
split_00,0,train,1309,1344,1
split_00,0,train,2559,2759,0
split_00,0,train,88,90,1
split_00,0,train,1530,1567,1
split_00,0,train,2404,2583,0
split_00,0,train,2247,2400,0
split_00,0,train,446,455,1
split_00,0,train,2711,2943,0
split_00,0,train,2068,2197,0
split_00,0,train,2682,2912,0
split_00,0,train,1167,1202,1
split_00,0,train,1282,1317,1
split_00,0,train,1723,1783,0
split_00,0,train,461,471,1
split_00,0,train,2797,3041,0
split_00,0,train,2621,2837,0
split_00,0,train,1172,1207,1
split_00,0,train,1188,1223,1
split_00,0,train,2541,2736,0
split_00,0,train,1695,1754,0
split_00,0,train,1568,1605,1
split_00,0,train,2020,2139,0
split_00,0,train,2884,3135,0
split_00,0,train,1421,1458,1
split_00,0,train,342,351,1
split_00,0,train,2683,2913,0
split_00,0,train,2676,2903,0
split_00,0,train,729,749,1
split_00,0,train,357,366,1
split_00,0,train,415,424,1
split_00,0,train,1756,1823,0
split_00,0,train,1342,1378,1
split_00,0,train,871,893,1
split_00,0,train,312,320,1
split_00,0,train,2829,3076,0
split_00,0,train,2250,2403,0
split_00,0,train,1517,1554,1
split_00,0,train,2273,2430,0
split_00,0,train,2231,2382,0
split_00,0,train,3004,3270,0
split_00,0,train,1772,1841,0
split_00,0,train,544,559,1
split_00,0,train,605,620,1
split_00,0,train,117,119,1
split_00,0,train,106,108,1
split_00,0,train,650,668,1
split_00,0,train,2181,2325,0
split_00,0,train,1709,1768,0
split_00,0,train,1731,1792,0
split_00,0,train,353,362,1
split_00,0,train,2862,3113,0
split_00,0,train,627,643,1
split_00,0,train,1550,1587,1
split_00,0,train,2498,2684,0
split_00,0,train,2248,2401,0
split_00,0,train,2983,3246,0
split_00,0,train,1101,1133,1
split_00,0,train,2783,3024,0
split_00,0,train,967,993,1
split_00,0,train,842,863,1
split_00,0,train,303,311,1
split_00,0,train,2373,2544,0
split_00,0,train,3155,3444,0
split_00,0,train,3071,3349,0
split_00,0,train,2508,2694,0
split_00,0,train,1093,1125,1
split_00,0,train,1197,1232,1
split_00,0,train,2285,2449,0
split_00,0,train,2036,2159,0
split_00,0,train,1181,1216,1
split_00,0,train,2414,2593,0
split_00,0,train,708,727,1
split_00,0,train,2372,2543,0
split_00,0,train,318,326,1
split_00,0,train,860,881,1
split_00,0,train,1935,2032,0
split_00,0,train,714,733,1
split_00,0,train,2227,2378,0
split_00,0,train,234,240,1
split_00,0,train,2167,2309,0
split_00,0,train,2158,2298,0
split_00,0,train,311,319,1
split_00,0,train,1131,1165,1
split_00,0,train,835,856,1
split_00,0,train,2856,3106,0
split_00,0,train,2360,2531,0
split_00,0,train,910,935,1
split_00,0,train,594,609,1
split_00,0,train,3146,3431,0
split_00,0,train,1520,1557,1
split_00,0,train,1222,1257,1
split_00,0,train,417,426,1
split_00,0,train,256,262,1
split_00,0,train,1974,2079,0
split_00,0,train,615,630,1
split_00,0,train,46,48,1
split_00,0,train,1258,1293,1
split_00,0,train,2097,2232,0
split_00,0,train,1794,1870,0
split_00,0,train,2450,2635,0
split_00,0,train,3016,3284,0
split_00,0,train,707,726,1
split_00,0,train,148,151,1
split_00,0,train,2755,2992,0
split_00,0,train,2698,2930,0
split_00,0,train,631,648,1
split_00,0,train,1718,1778,0
split_00,0,train,2919,3173,0
split_00,0,train,242,248,1
split_00,0,train,2229,2380,0
split_00,0,train,2430,2611,0
split_00,0,train,2585,2790,0
split_00,0,train,698,717,1
split_00,0,train,2444,2629,0
split_00,0,train,2712,2944,0
split_00,0,train,170,174,1
split_00,0,train,830,851,1
split_00,0,train,1687,1745,0
split_00,0,train,661,679,1
split_00,0,train,525,537,1
